Study,Subject,Mcf_pR,Condition,my_thresholds,prob,Level,my_thresholds_real,max_strength,jnd_anti_log,jnd_weighted_threshold,adj_stim_val,adjusted_status,shifted_threshold,max_shifted_strength
wonderland,3,0.501614959332145,Delay,2.68960064059334,0.25,1,2.68960064059334,0.2535,13.7257938616938,0.03479,0.03479,0,0.03479,0.2535
wonderland,3,0.501614959332145,Delay,2.95824589503212,0.5,2,2.95824589503212,0.2535,18.2641507588375,0.04629,0.04629,0,0.04629,0.2535
wonderland,3,0.501614959332145,Delay,3.22688530887197,0.75,3,3.22688530887197,0.2535,24.2010411432427,0.06134,0.06134,0,0.06134,0.2535
wonderland,3,0.501614959332145,Delay,3.67823449438296,0.95,4,3.67823449438296,0.2535,38.5764598939002,0.09779,0.09779,0,0.09779,0.2535
wonderland,3,0.406850336623565,Light,3.57487900398601,0.25,1,3.57487900398601,4.1616,34.690302170091,1.44367,1.44367,0,-8.36633,-5.6484
wonderland,3,0.406850336623565,Light,3.72976125834778,0.5,2,3.72976125834778,4.1616,40.6691588125927,1.69248,1.69248,0,-8.11752,-5.6484
wonderland,3,0.406850336623565,Light,3.88464330764448,0.75,3,3.88464330764448,4.1616,47.6495864287144,1.98298,1.98298,0,-7.82702,-5.6484
wonderland,3,0.406850336623565,Light,4.14486730595061,0.95,4,4.14486730595061,4.1616,62.1092471245609,2.58473,2.58473,0,-7.22527,-5.6484
wonderland,3,0.916280122303896,Ripple,2.70510831559238,0.25,1,2.70510831559238,0.03591,13.9559365639242,0.00501,0.00501,0,0.00501,0.03591
wonderland,3,0.916280122303896,Ripple,2.82814230771252,0.5,2,2.82814230771252,0.03591,15.9140105941293,0.00571,0.00571,0,0.00571,0.03591
wonderland,3,0.916280122303896,Ripple,2.95117631257756,0.75,3,2.95117631257756,0.03591,18.1284415256549,0.00651,0.00651,0,0.00651,0.03591
wonderland,3,0.916280122303896,Ripple,3.15789126692806,0.95,4,3.15789126692806,0.03591,22.5209442034242,0.00808,0.00808,0,0.00808,0.03591
