Study,Subject,Mcf_pR,Condition,my_thresholds,prob,Level,my_thresholds_real,max_strength,jnd_anti_log,jnd_weighted_threshold,adj_stim_val,adjusted_status,shifted_threshold,max_shifted_strength
wonderland,41,-0.667573345661514,Delay,4.27440749754125,0.25,1,4.27440749754125,0.2535,70.8375627649821,0.17957,0.17957,0,0.17957,0.2535
wonderland,41,-0.667573345661514,Delay,4.67745653659369,0.5,2,4.67745653659369,0.2535,106.496311633568,0.26996,0.26996,1,0.26996,0.2535
wonderland,41,-0.667573345661514,Delay,5.06938724547703,0.75,3,5.06938724547703,0.2535,158.076822430616,0.40072,0.26173,1,0.26173,0.2535
wonderland,41,-0.667573345661514,Delay,5.72117770752228,0.95,4,5.72117770752228,0.2535,304.264223312092,0.7713,0.2535,1,0.2535,0.2535
wonderland,41,0.994832063692062,Light,4.5233103397467,0.25,1,4.5233103397467,4.1616,91.1401087472791,3.79288,3.79288,0,-6.01712,-5.6484
wonderland,41,0.994832063692062,Light,4.56337706303197,0.5,2,4.56337706303197,4.1616,94.9068169238477,3.94964,3.94964,0,-5.86036,-5.6484
wonderland,41,0.994832063692062,Light,4.6034437434423,0.75,3,4.6034437434423,4.1616,98.8275046898871,4.1128,4.1128,0,-5.6972,-5.6484
wonderland,41,0.994832063692062,Light,4.67076151173213,0.95,4,4.67076151173213,4.1616,105.779024959976,4.40209,4.1616,1,-5.6484,-5.6484
wonderland,41,0.423267944829015,Ripple,3.70164275630504,0.25,1,3.70164275630504,0.03591,39.5138040307485,0.01419,0.01419,0,0.01419,0.03591
wonderland,41,0.423267944829015,Ripple,3.97672513347895,0.5,2,3.97672513347895,0.03591,52.3420597492039,0.01879,0.01879,0,0.01879,0.03591
wonderland,41,0.423267944829015,Ripple,4.25180896704765,0.75,3,4.25180896704765,0.03591,69.2323455018182,0.02486,0.02486,0,0.02486,0.03591
wonderland,41,0.423267944829015,Ripple,4.71400327669641,0.95,4,4.71400327669641,0.03591,110.497623491607,0.03968,0.03591,1,0.03591,0.03591
