TrialNumber,BlockNumber,StepNumber,ConditionCode,ConditionName,Domain,QuestionResult,ReversalPoints,StairCaseValue,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,Attempt,percent,log_percent,SCV_abs,max_strength,ReversalVal,Subject,Study,Filename
4,1,1,290101,Delay,Self,0,0,0.2535,153829895,153831457,1.562,1,100,4.61512051684126,0.2535,0.2535,,032,wonderland,Answers_Sub-032_Plan-Wonderland_JND_RunID-20221117-153358.csv
5,1,2,290101,Delay,Self,1,0,0.2535,153841856,153847395,5.539003,1,100,4.61512051684126,0.2535,0.2535,,032,wonderland,Answers_Sub-032_Plan-Wonderland_JND_RunID-20221117-153358.csv
6,1,3,290101,Delay,Self,0,0,0.190125,153857782,153900877,3.095776,1,75,4.33073334028633,0.190125,0.2535,,032,wonderland,Answers_Sub-032_Plan-Wonderland_JND_RunID-20221117-153358.csv
7,1,4,290101,Delay,Self,1,0,0.2535,153911019,153914149,3.130002,1,100,4.61512051684126,0.2535,0.2535,,032,wonderland,Answers_Sub-032_Plan-Wonderland_JND_RunID-20221117-153358.csv
8,1,5,290101,Delay,Self,0,1,0.190125,153924114,153926864,2.750001,1,75,4.33073334028633,0.190125,0.2535,0.190125,032,wonderland,Answers_Sub-032_Plan-Wonderland_JND_RunID-20221117-153358.csv
9,1,6,290101,Delay,Self,0,0,0.2535,153936997,153947034,10.03701,1,100,4.61512051684126,0.2535,0.2535,,032,wonderland,Answers_Sub-032_Plan-Wonderland_JND_RunID-20221117-153358.csv
10,1,7,290101,Delay,Self,1,1,0.2535,153957785,153959595,1.810001,1,100,4.61512051684126,0.2535,0.2535,0.2535,032,wonderland,Answers_Sub-032_Plan-Wonderland_JND_RunID-20221117-153358.csv
11,1,8,290101,Delay,Self,0,1,0.190125,154010150,154011477,1.327,1,75,4.33073334028633,0.190125,0.2535,0.190125,032,wonderland,Answers_Sub-032_Plan-Wonderland_JND_RunID-20221117-153358.csv
12,1,9,290101,Delay,Self,0,0,0.2535,154023044,154024148,1.104001,1,100,4.61512051684126,0.2535,0.2535,,032,wonderland,Answers_Sub-032_Plan-Wonderland_JND_RunID-20221117-153358.csv
13,1,10,290101,Delay,Self,0,0,0.2535,154034273,154036535,2.261704,1,100,4.61512051684126,0.2535,0.2535,,032,wonderland,Answers_Sub-032_Plan-Wonderland_JND_RunID-20221117-153358.csv
14,1,11,290101,Delay,Self,0,0,0.2535,154059995,154104432,4.437003,1,100,4.61512051684126,0.2535,0.2535,,032,wonderland,Answers_Sub-032_Plan-Wonderland_JND_RunID-20221117-153358.csv
15,1,12,290101,Delay,Self,1,1,0.2535,154114710,154116039,1.329002,1,100,4.61512051684126,0.2535,0.2535,0.2535,032,wonderland,Answers_Sub-032_Plan-Wonderland_JND_RunID-20221117-153358.csv
16,1,13,290101,Delay,Self,0,1,0.190125,154125860,154128633,2.773003,1,75,4.33073334028633,0.190125,0.2535,0.190125,032,wonderland,Answers_Sub-032_Plan-Wonderland_JND_RunID-20221117-153358.csv
