TrialNumber,BlockNumber,StepNumber,ConditionCode,ConditionName,Domain,QuestionResult,ReversalPoints,StairCaseValue,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,Attempt,percent,log_percent,SCV_abs,max_strength,ReversalVal,Subject,Study,Filename
4,1,1,2210101,Light,Nature,1,0,4.1616,134633651,134635191,1.54,1,100,4.61512051684126,4.1616,4.1616,,023,wl,Answers_Sub-023_Plan-Wonderland_JND_RunID-20221028-134259.csv
5,1,2,2210101,Light,Nature,0,0,3.74544,134644015,134644800,0.7849993,1,90,4.51085950651685,3.74544,4.1616,,023,wl,Answers_Sub-023_Plan-Wonderland_JND_RunID-20221028-134259.csv
6,1,3,2210101,Light,Nature,0,0,4.1616,134655087,134657848,2.760997,1,100,4.61512051684126,4.1616,4.1616,,023,wl,Answers_Sub-023_Plan-Wonderland_JND_RunID-20221028-134259.csv
7,1,4,2210101,Light,Nature,0,0,4.1616,134706396,134707788,1.392,1,100,4.61512051684126,4.1616,4.1616,,023,wl,Answers_Sub-023_Plan-Wonderland_JND_RunID-20221028-134259.csv
8,1,5,2210101,Light,Nature,1,1,4.1616,134717456,134719094,1.637998,1,100,4.61512051684126,4.1616,4.1616,4.1616,023,wl,Answers_Sub-023_Plan-Wonderland_JND_RunID-20221028-134259.csv
9,1,6,2210101,Light,Nature,0,1,3.74544,134732280,134733215,0.9349991,1,90,4.51085950651685,3.74544,4.1616,3.74544,023,wl,Answers_Sub-023_Plan-Wonderland_JND_RunID-20221028-134259.csv
10,1,7,2210101,Light,Nature,0,0,4.1616,134744143,134746148,2.004998,1,100,4.61512051684126,4.1616,4.1616,,023,wl,Answers_Sub-023_Plan-Wonderland_JND_RunID-20221028-134259.csv
11,1,8,2210101,Light,Nature,1,1,4.1616,134755449,134757199,1.749998,1,100,4.61512051684126,4.1616,4.1616,4.1616,023,wl,Answers_Sub-023_Plan-Wonderland_JND_RunID-20221028-134259.csv
12,1,9,2210101,Light,Nature,0,1,3.74544,134806977,134807970,0.9930002,1,90,4.51085950651685,3.74544,4.1616,3.74544,023,wl,Answers_Sub-023_Plan-Wonderland_JND_RunID-20221028-134259.csv
13,1,10,2210101,Light,Nature,0,0,4.1616,134817161,134820056,2.894998,1,100,4.61512051684126,4.1616,4.1616,,023,wl,Answers_Sub-023_Plan-Wonderland_JND_RunID-20221028-134259.csv
