Condition,resp_porp,stim_val,pr2
Delay,0.25,0.233769454167334,0.940890175656898
Delay,0.5,0.256882114953682,0.940890175656898
Delay,0.75,0.255191057476841,0.940890175656898
Delay,0.95,0.2535,0.940890175656898
Low Gravity,0.25,-6.6976381794411,0.212236564615199
Low Gravity,0.5,-6.42265877233793,0.212236564615199
Low Gravity,0.75,-6.12370533195359,0.212236564615199
Low Gravity,0.95,-5.6484,0.212236564615199
Ripple,0.25,0.0175705277287858,0.939910948693234
Ripple,0.5,0.019490275454805,0.939910948693234
Ripple,0.75,0.0216155728949169,0.939910948693234
Ripple,0.95,0.0257110644209783,0.939910948693234
