TrialNumber,BlockNumber,StepNumber,ConditionCode,ConditionName,Domain,QuestionResult,ReversalPoints,StairCaseValue,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,Attempt,percent,log_percent,SCV_abs,max_strength,ReversalVal,Subject,Study,Filename
30,2,7,2220201,Heavy,Nature,0,1,-5.213716,121232903,121234214,1.310678,1,52.2006359733436,3.9740703506623,5.213716,-9.98784,5.213716,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
31,2,8,2220201,Heavy,Nature,0,0,-6.133783,121243299,121244298,0.9992355,1,61.4125076092529,4.13376569774545,6.133783,-9.98784,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
32,2,9,2220201,Heavy,Nature,1,1,-7.216215,121253363,121254002,0.6392897,1,72.2500060073049,4.29387832990816,7.216215,-9.98784,7.216215,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
33,2,10,2220201,Heavy,Nature,0,1,-6.133783,121303038,121304022,0.9843951,1,61.4125076092529,4.13376569774545,6.133783,-9.98784,6.133783,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
34,2,11,2220201,Heavy,Nature,1,1,-7.216215,121312869,121313696,0.8272646,1,72.2500060073049,4.29387832990816,7.216215,-9.98784,7.216215,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
38,3,1,3020201,Saturated,Perception,1,0,21.97,121359133,121359798,0.6656422,1,100,4.61512051684126,21.97,21.97,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
39,3,2,3020201,Saturated,Perception,1,0,14.2805,121410023,121410837,0.8137857,1,65,4.18965474202643,14.2805,21.97,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
40,3,3,3020201,Saturated,Perception,1,0,9.282325,121420263,121421133,0.8700444,1,42.25,3.76699723337789,9.282325,21.97,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
41,3,4,3020201,Saturated,Perception,0,0,6.033511,121430315,121432050,1.735285,1,27.4624988620847,3.3485873914104,6.033511,21.97,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
42,3,5,3020201,Saturated,Perception,0,0,9.282325,121440591,121441391,0.7994838,1,42.25,3.76699723337789,9.282325,21.97,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
43,3,6,3020201,Saturated,Perception,1,1,14.2805,121450528,121451242,0.7136161,1,65,4.18965474202643,14.2805,21.97,14.2805,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
44,3,7,3020201,Saturated,Perception,1,0,9.282325,121500438,121501359,0.9203381,1,42.25,3.76699723337789,9.282325,21.97,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
45,3,8,3020201,Saturated,Perception,0,1,6.033511,121510177,121511100,0.9229761,1,27.4624988620847,3.3485873914104,6.033511,21.97,6.033511,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
46,3,9,3020201,Saturated,Perception,1,1,9.282325,121519647,121522461,2.81418,1,42.25,3.76699723337789,9.282325,21.97,9.282325,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
47,3,10,3020201,Saturated,Perception,0,1,6.033511,121531152,121531876,0.7242402,1,27.4624988620847,3.3485873914104,6.033511,21.97,6.033511,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
48,3,11,3020201,Saturated,Perception,0,0,9.282325,121540275,121541208,0.9333792,1,42.25,3.76699723337789,9.282325,21.97,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
49,3,12,3020201,Saturated,Perception,1,1,14.2805,121549786,121551169,1.383735,1,65,4.18965474202643,14.2805,21.97,14.2805,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
53,4,1,6010101,Shrink,Self,1,0,-0.15435,121635456,121636196,0.7403041,1,100,4.61512051684126,0.15435,-0.15435,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
54,4,2,6010101,Shrink,Self,1,0,-0.108045,121644624,121645625,1.000292,1,70,4.26267987704132,0.108045,-0.15435,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
55,4,3,6010101,Shrink,Self,1,0,-0.0756315,121655519,121656564,1.045101,1,49,3.91202300542815,0.0756315,-0.15435,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
56,4,4,6010101,Shrink,Self,0,0,-0.05294205,121705224,121706115,0.8909889,1,34.3,3.56388296393925,0.05294205,-0.15435,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
57,4,5,6010101,Shrink,Self,0,0,-0.0756315,121715003,121715844,0.8414169,1,49,3.91202300542815,0.0756315,-0.15435,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
58,4,6,6010101,Shrink,Self,1,1,-0.108045,121725850,121726862,1.01162,1,70,4.26267987704132,0.108045,-0.15435,0.108045,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
59,4,7,6010101,Shrink,Self,1,0,-0.0756315,121739028,121739745,0.7174546,1,49,3.91202300542815,0.0756315,-0.15435,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
60,4,8,6010101,Shrink,Self,0,1,-0.05294205,121753217,121755815,2.598009,1,34.3,3.56388296393925,0.05294205,-0.15435,0.05294205,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
61,4,9,6010101,Shrink,Self,0,0,-0.0756315,121804253,121805955,1.701589,1,49,3.91202300542815,0.0756315,-0.15435,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
62,4,10,6010101,Shrink,Self,1,1,-0.108045,121814443,121815273,0.829722,1,70,4.26267987704132,0.108045,-0.15435,0.108045,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
63,4,11,6010101,Shrink,Self,1,0,-0.0756315,121825038,121825679,0.6410676,1,49,3.91202300542815,0.0756315,-0.15435,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
64,4,12,6010101,Shrink,Self,0,1,-0.05294205,121834229,121834886,0.6567538,1,34.3,3.56388296393925,0.05294205,-0.15435,0.05294205,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
65,4,13,6010101,Shrink,Self,0,0,-0.0756315,121843111,121843968,0.8570813,1,49,3.91202300542815,0.0756315,-0.15435,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
66,4,14,6010101,Shrink,Self,1,1,-0.108045,121852550,121853357,0.8067358,1,70,4.26267987704132,0.108045,-0.15435,0.108045,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
70,5,1,330201,Ripple,Perception,1,0,0.0359125,121936695,121937692,0.9970832,1,100,4.61512051684126,0.0359125,0.0359125,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
71,5,2,330201,Ripple,Perception,1,0,0.02334312,121947457,121948287,0.829832,1,64.9999860772712,4.18965453107597,0.02334312,0.0359125,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
72,5,3,330201,Ripple,Perception,1,0,0.01517303,121956950,121957661,0.7112069,1,42.2499965193178,3.76699715289968,0.01517303,0.0359125,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
73,5,4,330201,Ripple,Perception,0,0,0.00986247,122010360,122011644,1.283833,1,27.4624991298295,3.34858740081733,0.00986247,0.0359125,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
74,5,5,330201,Ripple,Perception,1,1,0.01517303,122020538,122021462,0.923246,1,42.2499965193178,3.76699715289968,0.01517303,0.0359125,0.01517303,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
75,5,6,330201,Ripple,Perception,1,0,0.00986247,122030574,122031601,1.027137,1,27.4624991298295,3.34858740081733,0.00986247,0.0359125,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
76,5,7,330201,Ripple,Perception,0,1,0.006410606,122040044,122040987,0.9432373,1,17.850625826662,2.93654611369632,0.006410606,0.0359125,0.006410606,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
77,5,8,330201,Ripple,Perception,1,1,0.009862471,122051164,122052484,1.319711,1,27.4625019143752,3.34858749864942,0.009862471,0.0359125,0.009862471,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
78,5,9,330201,Ripple,Perception,0,1,0.006410606,122103071,122103965,0.8942722,1,17.850625826662,2.93654611369632,0.006410606,0.0359125,0.006410606,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
79,5,10,330201,Ripple,Perception,0,0,0.009862471,122112777,122113894,1.116544,1,27.4625019143752,3.34858749864942,0.009862471,0.0359125,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
80,5,11,330201,Ripple,Perception,1,1,0.01517303,122122695,122123911,1.216294,1,42.2499965193178,3.76699715289968,0.01517303,0.0359125,0.01517303,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
84,6,1,6020101,Grow,Self,1,0,0.052942,123248238,123249164,0.9258444,1,100,4.61512051684126,0.052942,0.052942,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
85,6,2,6020101,Grow,Self,1,0,0.0370594,123258205,123259044,0.8394574,1,70,4.26267987704132,0.0370594,0.052942,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
86,6,3,6020101,Grow,Self,1,0,0.02594158,123307715,123308566,0.8517228,1,49,3.91202300542815,0.02594158,0.052942,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
87,6,4,6020101,Grow,Self,0,0,0.01815911,123317226,123317968,0.7423616,1,34.300007555438,3.5638831779743,0.01815911,0.052942,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
88,6,5,6020101,Grow,Self,0,0,0.02594159,123326821,123327669,0.8476506,1,49.0000188885951,3.91202338319998,0.02594159,0.052942,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
89,6,6,6020101,Grow,Self,1,1,0.03705942,123336392,123337310,0.9177348,1,70.0000377771902,4.26268040911427,0.03705942,0.052942,0.03705942,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
90,6,7,6020101,Grow,Self,1,0,0.02594159,123346303,123347315,1.012102,1,49.0000188885951,3.91202338319998,0.02594159,0.052942,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
91,6,8,6020101,Grow,Self,1,0,0.01815911,123355902,123356856,0.9544871,1,34.300007555438,3.5638831779743,0.01815911,0.052942,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
92,6,9,6020101,Grow,Self,1,0,0.01271138,123406729,123407440,0.7108427,1,24.0100109553851,3.21927618292962,0.01271138,0.052942,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
93,6,10,6020101,Grow,Self,0,1,0.008897966,123415699,123416503,0.8046161,1,16.8070076687696,2.87959206907948,0.008897966,0.052942,0.008897966,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
94,6,11,6020101,Grow,Self,0,0,0.01271138,123425357,123426110,0.7531399,1,24.0100109553851,3.21927618292962,0.01271138,0.052942,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
95,6,12,6020101,Grow,Self,0,0,0.01815911,123434756,123435495,0.7388147,1,34.300007555438,3.5638831779743,0.01815911,0.052942,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
96,6,13,6020101,Grow,Self,1,1,0.02594159,123443972,123444585,0.6129896,1,49.0000188885951,3.91202338319998,0.02594159,0.052942,0.02594159,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
97,6,14,6020101,Grow,Self,1,0,0.01815911,123452953,123454385,1.43181,1,34.300007555438,3.5638831779743,0.01815911,0.052942,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
98,6,15,6020101,Grow,Self,1,0,0.01271138,123502584,123503256,0.6711803,1,24.0100109553851,3.21927618292962,0.01271138,0.052942,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
99,6,16,6020101,Grow,Self,0,1,0.008897966,123511422,123512356,0.9340841,1,16.8070076687696,2.87959206907948,0.008897966,0.052942,0.008897966,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
100,6,17,6020101,Grow,Self,1,1,0.01271138,123520665,123523895,3.229578,1,24.0100109553851,3.21927618292962,0.01271138,0.052942,0.01271138,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
104,7,1,290201,Delay,Self,1,0,0.2535,123609311,123610096,0.7849013,1,100,4.61512051684126,0.2535,0.2535,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
105,7,2,290201,Delay,Self,1,0,0.164775,123619295,123620126,0.8317101,1,65,4.18965474202643,0.164775,0.2535,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
106,7,3,290201,Delay,Self,1,0,0.1071037,123628961,123630055,1.093706,1,42.2499802761341,3.76699677733464,0.1071037,0.2535,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
107,7,4,290201,Delay,Self,0,0,0.0696174,123640221,123641250,1.028506,1,27.4624852071006,3.34858691165676,0.0696174,0.2535,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
108,7,5,290201,Delay,Self,1,1,0.1071037,123649943,123650553,0.6098131,1,42.2499802761341,3.76699677733464,0.1071037,0.2535,0.1071037,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
109,7,6,290201,Delay,Self,1,0,0.0696174,123701197,123702385,1.18752,1,27.4624852071006,3.34858691165676,0.0696174,0.2535,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
110,7,7,290201,Delay,Self,0,1,0.04525131,123711610,123712337,0.7261477,1,17.8506153846154,2.93654555975983,0.04525131,0.2535,0.04525131,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
111,7,8,290201,Delay,Self,0,0,0.06961741,123721532,123722787,1.255816,1,27.4624891518738,3.34858705025228,0.06961741,0.2535,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
