TrialNumber,BlockNumber,StepNumber,ConditionCode,ConditionName,Domain,QuestionResult,ReversalPoints,StairCaseValue,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,Attempt,percent,log_percent,SCV_abs,max_strength,ReversalVal,Subject,Study,Filename
20,7,1,6020202,Grow,Self,1,0,0.15,122252747,122253670,0.9236262,1,100,4.61512051684126,0.15,0.15,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914_2_.csv
21,7,2,6020202,Grow,Self,1,0,0.105,122302796,122303669,0.8730323,1,70,4.26267987704132,0.105,0.15,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914_2_.csv
22,7,3,6020202,Grow,Self,1,0,0.0735,122312783,122313500,0.7169474,1,49,3.91202300542815,0.0735,0.15,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914_2_.csv
23,7,4,6020202,Grow,Self,1,0,0.05145,122322631,122323682,1.050743,1,34.3,3.56388296393925,0.05145,0.15,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914_2_.csv
24,7,5,6020202,Grow,Self,0,1,0.036015,122332805,122334563,1.757818,1,24.01,3.21927574488953,0.036015,0.15,0.036015,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914_2_.csv
26,7,6,6020202,Grow,Self,1,1,0.05145,122402397,122403474,1.077132,1,34.3,3.56388296393925,0.05145,0.15,0.05145,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914_2_.csv
27,7,7,6020202,Grow,Self,1,0,0.036015,122412644,122413422,0.777395,1,24.01,3.21927574488953,0.036015,0.15,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914_2_.csv
28,7,8,6020202,Grow,Self,0,1,0.0252105,122422548,122423953,1.405103,1,16.807,2.87959163841918,0.0252105,0.15,0.0252105,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914_2_.csv
29,7,9,6020202,Grow,Self,1,1,0.036015,122433037,122433834,0.7968584,1,24.01,3.21927574488953,0.036015,0.15,0.036015,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914_2_.csv
30,7,10,6020202,Grow,Self,0,1,0.0252105,122442974,122444482,1.507573,1,16.807,2.87959163841918,0.0252105,0.15,0.0252105,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914_2_.csv
34,1,1,3822,Plant,Normal,1,0,0.15,122529396,122531390,1.993719,1,100,4.61512051684126,0.15,0.15,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914_2_.csv
35,1,2,3822,Plant,Normal,0,0,0.105,122540537,122541521,0.9843931,1,70,4.26267987704132,0.105,0.15,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914_2_.csv
36,1,3,3822,Plant,Normal,1,0,0.15,122550612,122551419,0.8067546,1,100,4.61512051684126,0.15,0.15,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914_2_.csv
37,1,4,3822,Plant,Normal,1,0,0.105,122600555,122601370,0.8150003,1,70,4.26267987704132,0.105,0.15,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914_2_.csv
38,1,5,3822,Plant,Normal,1,0,0.0735,122610530,122611232,0.7025048,1,49,3.91202300542815,0.0735,0.15,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914_2_.csv
39,1,6,3822,Plant,Normal,1,0,0.05145,122620389,122621197,0.8078888,1,34.3,3.56388296393925,0.05145,0.15,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914_2_.csv
40,1,7,3822,Plant,Normal,0,1,0.036015,122630352,122631478,1.126183,1,24.01,3.21927574488953,0.036015,0.15,0.036015,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914_2_.csv
41,1,8,3822,Plant,Normal,1,1,0.05145,122640621,122641776,1.154725,1,34.3,3.56388296393925,0.05145,0.15,0.05145,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914_2_.csv
42,1,9,3822,Plant,Normal,0,1,0.036015,122650897,122652409,1.511531,1,24.01,3.21927574488953,0.036015,0.15,0.036015,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914_2_.csv
43,1,10,3822,Plant,Normal,1,1,0.05145,122701534,122702289,0.7555814,1,34.3,3.56388296393925,0.05145,0.15,0.05145,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914_2_.csv
