TrialNumber,BlockNumber,StepNumber,ConditionCode,ConditionName,Domain,QuestionResult,ReversalPoints,StairCaseValue,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,Attempt,percent,log_percent,SCV_abs,max_strength,ReversalVal,Subject,Study,Filename
28,31,1,1210202,Slow,Nature,1,0,-0.56,122846284,122847356,1.07156,1,100,4.61512051684126,0.56,-0.56,,003,fmri,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350_1__1__1_.csv
29,31,2,1210202,Slow,Nature,1,0,-0.448,122855980,122857271,1.29157,1,80,4.39444915467244,0.448,-0.56,,003,fmri,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350_1__1__1_.csv
30,31,3,1210202,Slow,Nature,1,0,-0.3584,122905948,122907082,1.134063,1,64,4.17438726989564,0.3584,-0.56,,003,fmri,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350_1__1__1_.csv
31,31,4,1210202,Slow,Nature,1,0,-0.28672,122915758,122916871,1.113428,1,51.2,3.95508249488859,0.28672,-0.56,,003,fmri,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350_1__1__1_.csv
32,31,5,1210202,Slow,Nature,1,0,-0.229376,122925462,122926762,1.300242,1,40.96,3.7367167835281,0.229376,-0.56,,003,fmri,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350_1__1__1_.csv
33,31,6,1210202,Slow,Nature,1,0,-0.1835008,122935350,122936385,1.034427,1,32.768,3.5195136084802,0.1835008,-0.56,,003,fmri,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350_1__1__1_.csv
34,31,7,1210202,Slow,Nature,1,0,-0.1468006,122944982,122946033,1.050583,1,26.2143928571429,3.30374598251157,0.1468006,-0.56,,003,fmri,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350_1__1__1_.csv
35,31,8,1210202,Slow,Nature,0,1,-0.1174405,122954631,122955486,0.854889,1,20.9715178571429,3.08974697172709,0.1174405,-0.56,0.1174405,003,fmri,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350_1__1__1_.csv
36,31,9,1210202,Slow,Nature,1,1,-0.1468006,123004135,123004841,0.7059514,1,26.2143928571429,3.30374598251157,0.1468006,-0.56,0.1468006,003,fmri,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350_1__1__1_.csv
37,31,10,1210202,Slow,Nature,1,0,-0.1174405,123013438,123014529,1.090922,1,20.9715178571429,3.08974697172709,0.1174405,-0.56,,003,fmri,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350_1__1__1_.csv
38,31,11,1210202,Slow,Nature,0,1,-0.0939524,123023103,123024926,1.823254,1,16.7772142857143,2.87791754096669,0.0939524,-0.56,0.0939524,003,fmri,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350_1__1__1_.csv
39,31,12,1210202,Slow,Nature,1,1,-0.1174405,123033587,123034397,0.8093826,1,20.9715178571429,3.08974697172709,0.1174405,-0.56,0.1174405,003,fmri,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350_1__1__1_.csv
40,31,13,1210202,Slow,Nature,1,0,-0.0939524,123043044,123043944,0.900582,1,16.7772142857143,2.87791754096669,0.0939524,-0.56,,003,fmri,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350_1__1__1_.csv
41,31,14,1210202,Slow,Nature,0,1,-0.07516193,123052548,123053659,1.111314,1,13.4217732142857,2.66873909338727,0.07516193,-0.56,0.07516193,003,fmri,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350_1__1__1_.csv
45,32,1,1220202,Fast,Nature,1,0,0.4,123137494,123139048,1.553623,1,100,4.61512051684126,0.4,0.4,,003,fmri,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350_1__1__1_.csv
46,32,2,1220202,Fast,Nature,1,0,0.32,123147667,123148850,1.182966,1,80,4.39444915467244,0.32,0.4,,003,fmri,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350_1__1__1_.csv
47,32,3,1220202,Fast,Nature,1,0,0.256,123157462,123158668,1.206578,1,64,4.17438726989564,0.256,0.4,,003,fmri,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350_1__1__1_.csv
48,32,4,1220202,Fast,Nature,1,0,0.2048,123207298,123208458,1.160492,1,51.2,3.95508249488859,0.2048,0.4,,003,fmri,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350_1__1__1_.csv
49,32,5,1220202,Fast,Nature,1,0,0.16384,123217057,123218157,1.099903,1,40.96,3.7367167835281,0.16384,0.4,,003,fmri,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350_1__1__1_.csv
50,32,6,1220202,Fast,Nature,1,0,0.131072,123226760,123227495,0.7349989,1,32.768,3.5195136084802,0.131072,0.4,,003,fmri,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350_1__1__1_.csv
51,32,7,1220202,Fast,Nature,1,0,0.1048576,123236120,123237511,1.39165,1,26.2144,3.30374624497769,0.1048576,0.4,,003,fmri,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350_1__1__1_.csv
52,32,8,1220202,Fast,Nature,1,0,0.08388608,123246115,123247328,1.212964,1,20.97152,3.08974706925595,0.08388608,0.4,,003,fmri,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350_1__1__1_.csv
53,32,9,1220202,Fast,Nature,1,0,0.06710886,123255930,123257187,1.257184,1,16.777215,2.87791758114654,0.06710886,0.4,,003,fmri,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350_1__1__1_.csv
54,32,10,1220202,Fast,Nature,1,0,0.05368709,123305790,123306889,1.098653,1,13.4217725,2.66873904385899,0.05368709,0.4,,003,fmri,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350_1__1__1_.csv
55,32,11,1220202,Fast,Nature,1,0,0.04294967,123315491,123316639,1.147455,1,10.7374175,2.46278181575569,0.04294967,0.4,,003,fmri,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350_1__1__1_.csv
56,32,12,1220202,Fast,Nature,1,0,0.03435973,123325232,123326466,1.234011,1,8.5899325,2.26071385028872,0.03435973,0.4,,003,fmri,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350_1__1__1_.csv
57,32,13,1220202,Fast,Nature,1,0,0.02748778,123335081,123336646,1.564668,1,6.871945,2.06330517293693,0.02748778,0.4,,003,fmri,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350_1__1__1_.csv
58,32,14,1220202,Fast,Nature,0,1,0.02199022,123345247,123346121,0.874224,1,5.497555,1.87142595229183,0.02199022,0.4,0.02199022,003,fmri,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350_1__1__1_.csv
