Condition,prob,my_thresholds,Mcf_pR
Fast,0.25,4.1984754595311+0i,0.815689326363845
Fast,0.5,4.32750849354524+0i,0.815689326363845
Fast,0.75,4.45654153480926+0i,0.815689326363845
Fast,0.95,4.67333570116893+0i,0.815689326363845
Grow,0.25,3.03548052578345+0i,0.949739269326363
Grow,0.5,3.15816422081519+0i,0.949739269326363
Grow,0.75,3.28084358708706+0i,0.949739269326363
Grow,0.95,3.48695985763737+0i,0.949739269326363
Plant,0.25,3.27742559837746+0i,0.507823752184904
Plant,0.5,3.4002134767903+0i,0.507823752184904
Plant,0.75,3.53417015859436+0i,0.507823752184904
Plant,0.95,3.86622126394228+0.337258649039267i,0.507823752184904
Saturated,0.25,4.12608495121556+0i,0.941852844413032
Saturated,0.5,4.23483836084103+0i,0.941852844413032
Saturated,0.75,4.34359041479288+0i,0.941852844413032
Saturated,0.95,4.52630865827021+0i,0.941852844413032
Shrink,0.25,3.58112736322605+0i,0.388072387013479
Shrink,0.5,3.84015172945884+0i,0.388072387013479
Shrink,0.75,4.09917611288541+0i,0.388072387013479
Shrink,0.95,4.53437455667874+0i,0.388072387013479
Slow,0.25,3.53113634755108+0i,0.981625185280102
Slow,0.5,3.62672046188595+0i,0.981625185280102
Slow,0.75,3.72230446375155+0i,0.981625185280102
Slow,0.95,3.88289929878496+0i,0.981625185280102
Unsaturated,0.25,2.24720999595947+0i,0.410711191430126
Unsaturated,0.5,2.60171877989738+0i,0.410711191430126
Unsaturated,0.75,2.95628985825119+0i,0.410711191430126
Unsaturated,0.95,3.55261173801547+0i,0.410711191430126
