Condition,prob,my_thresholds,Mcf_pR
Delay,0.25,3.32416118732396,0.784385919256261
Delay,0.5,3.36294346539096,0.784385919256261
Delay,0.75,3.40171687072252,0.784385919256261
Delay,0.95,3.46685618578921,0.784385919256261
Fast,0.25,3.73451130177712,0.763749433400929
Fast,0.5,3.90226122241386,0.763749433400929
Fast,0.75,4.07001115213728,0.763749433400929
Fast,0.95,4.35185531160416,0.763749433400929
Grow,0.25,2.92402191101082,0.50890739872437
Grow,0.5,3.32164592419697,0.50890739872437
Grow,0.75,3.7192702939808,0.50890739872437
Grow,0.95,4.38733983039607,0.50890739872437
Heavy,0.25,4.11461708752872,0.914948703670057
Heavy,0.5,4.17061357726834,0.914948703670057
Heavy,0.75,4.22660835033083,0.914948703670057
Heavy,0.95,4.320686584393,0.914948703670057
Light,0.25,3.64315233349938,0.811562074765986
Light,0.5,3.74852389458014,0.811562074765986
Light,0.75,3.85389661671053,0.811562074765986
Light,0.95,4.03094921796266,0.811562074765986
Ripple,0.25,3.24299896969158,0.949845276235679
Ripple,0.5,3.3907242503736,0.949845276235679
Ripple,0.75,3.53844964598928,0.949845276235679
Ripple,0.95,3.78665066379795,0.949845276235679
Saturated,0.25,3.5715919236072,0.941916402896501
Saturated,0.5,3.72070068260801,0.941916402896501
Saturated,0.75,3.86980551841199,0.941916402896501
Saturated,0.95,4.12032069541543,0.941916402896501
Shrink,0.25,3.78563584178416,0.944442785616536
Shrink,0.5,3.90884324701584,0.944442785616536
Shrink,0.75,4.03205089313128,0.944442785616536
Shrink,0.95,4.23905975302688,0.944442785616536
Unsaturated,0.25,2.59660514535115,0.330231748417798
Unsaturated,0.5,3.09578048421733,0.330231748417798
Unsaturated,0.75,3.59495582160582,0.330231748417798
Unsaturated,0.95,4.43364252713528,0.330231748417798
